,number_of_commits,number_of_unique_committers,week,repoID
368,0,0,2020-03-08 00:00:00+00:00,143887688
369,1,1,2020-03-15 00:00:00+00:00,143887688
370,0,0,2020-03-22 00:00:00+00:00,143887688
371,1,1,2020-03-29 00:00:00+00:00,143887688
372,0,0,2020-04-05 00:00:00+00:00,143887688
373,0,0,2020-04-12 00:00:00+00:00,143887688
374,2,1,2020-04-19 00:00:00+00:00,143887688
375,4,1,2020-04-26 00:00:00+00:00,143887688
376,1,1,2020-05-03 00:00:00+00:00,143887688
377,7,2,2015-06-28 00:00:00+00:00,37991233
378,7,3,2015-07-05 00:00:00+00:00,37991233
379,1,1,2015-07-12 00:00:00+00:00,37991233
380,0,0,2015-07-19 00:00:00+00:00,37991233
381,3,1,2015-07-26 00:00:00+00:00,37991233
382,0,0,2015-08-02 00:00:00+00:00,37991233
383,0,0,2015-08-09 00:00:00+00:00,37991233
384,5,2,2015-08-16 00:00:00+00:00,37991233
385,1,1,2015-08-23 00:00:00+00:00,37991233
386,0,0,2015-08-30 00:00:00+00:00,37991233
387,0,0,2015-09-06 00:00:00+00:00,37991233
388,1,1,2015-09-13 00:00:00+00:00,37991233
389,0,0,2015-09-20 00:00:00+00:00,37991233
390,0,0,2015-09-27 00:00:00+00:00,37991233
391,0,0,2015-10-04 00:00:00+00:00,37991233
392,0,0,2015-10-11 00:00:00+00:00,37991233
393,0,0,2015-10-18 00:00:00+00:00,37991233
394,0,0,2015-10-25 00:00:00+00:00,37991233
395,1,1,2015-11-01 00:00:00+00:00,37991233
396,0,0,2015-11-08 00:00:00+00:00,37991233
397,0,0,2015-11-15 00:00:00+00:00,37991233
398,0,0,2015-11-22 00:00:00+00:00,37991233
399,0,0,2015-11-29 00:00:00+00:00,37991233
400,0,0,2015-12-06 00:00:00+00:00,37991233
401,0,0,2015-12-13 00:00:00+00:00,37991233
402,0,0,2015-12-20 00:00:00+00:00,37991233
403,0,0,2015-12-27 00:00:00+00:00,37991233
404,0,0,2016-01-03 00:00:00+00:00,37991233
405,0,0,2016-01-10 00:00:00+00:00,37991233
406,0,0,2016-01-17 00:00:00+00:00,37991233
407,0,0,2016-01-24 00:00:00+00:00,37991233
408,0,0,2016-01-31 00:00:00+00:00,37991233
409,0,0,2016-02-07 00:00:00+00:00,37991233
410,0,0,2016-02-14 00:00:00+00:00,37991233
411,1,1,2016-02-21 00:00:00+00:00,37991233
412,0,0,2016-02-28 00:00:00+00:00,37991233
413,0,0,2016-03-06 00:00:00+00:00,37991233
414,0,0,2016-03-13 00:00:00+00:00,37991233
415,0,0,2016-03-20 00:00:00+00:00,37991233
416,1,1,2016-03-27 00:00:00+00:00,37991233
417,9,1,2016-04-03 00:00:00+00:00,37991233
418,23,2,2016-04-10 00:00:00+00:00,37991233
419,0,0,2016-04-17 00:00:00+00:00,37991233
420,13,2,2016-04-24 00:00:00+00:00,37991233
421,14,2,2016-05-01 00:00:00+00:00,37991233
422,2,1,2016-05-08 00:00:00+00:00,37991233
423,0,0,2016-05-15 00:00:00+00:00,37991233
424,0,0,2016-05-22 00:00:00+00:00,37991233
425,0,0,2016-05-29 00:00:00+00:00,37991233
426,0,0,2016-06-05 00:00:00+00:00,37991233
427,2,1,2016-06-12 00:00:00+00:00,37991233
428,10,2,2016-06-19 00:00:00+00:00,37991233
429,1,1,2016-06-26 00:00:00+00:00,37991233
430,0,0,2016-07-03 00:00:00+00:00,37991233
